"id","name","height","weight","hp","attack","defense","s_attack","s_defense","speed","type","evo_set","info"
36,"clefable","13","400","95","70","73","95","90","60","{fairy}",14,"A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people."
37,"vulpix","6","99","38","41","40","50","65","65","{fire}",15,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older."
38,"ninetales","11","199","73","76","75","81","100","100","{fire}",15,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse."
39,"jigglypuff","5","55","115","45","20","45","25","20","{normal,fairy}",16,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
40,"wigglytuff","10","120","140","70","45","85","50","45","{normal,fairy}",16,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
41,"zubat","8","75","40","45","35","30","40","55","{poison,flying}",17,"Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets."
42,"golbat","16","550","75","80","70","65","75","90","{poison,flying}",17,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
43,"oddish","5","54","45","50","55","75","65","30","{grass,poison}",18,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
44,"gloom","8","86","60","65","70","85","75","40","{grass,poison}",18,"The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey."
45,"vileplume","12","186","75","80","85","110","90","50","{grass,poison}",18,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
46,"paras","3","54","35","70","55","45","55","25","{bug,grass}",19,"Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host."
47,"parasect","10","295","60","95","80","60","80","30","{bug,grass}",19,"A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places."
48,"venonat","10","300","60","55","50","40","55","45","{bug,poison}",20,"Lives in the shadows of tall trees where it eats insects. It is attracted by light at night."
49,"venomoth","15","125","70","65","60","90","75","90","{bug,poison}",20,"The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has."
50,"diglett","2","8","10","55","25","35","45","95","{ground}",21,"Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground."
51,"dugtrio","7","333","35","100","50","50","70","120","{ground}",21,"A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground."
52,"meowth","4","42","40","45","35","40","40","90","{normal}",22,"It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth."
53,"persian","10","320","65","70","60","65","65","115","{normal}",22,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
54,"psyduck","8","196","50","52","48","65","50","55","{water}",23,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers."
55,"golduck","17","766","80","82","78","95","80","85","{water}",23,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
56,"mankey","5","280","40","80","35","35","45","70","{fighting}",24,"Extremely quick to anger. It could be docile one moment then thrashing away the next instant."
57,"primeape","10","320","65","105","60","60","70","95","{fighting}",24,"Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught."
58,"growlithe","7","190","55","70","45","70","50","60","{fire}",25,"Very protective of its territory. It will bark and bite to repel intruders from its space."
59,"arcanine","19","1550","90","110","80","100","80","95","{fire}",25,"A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings."
60,"poliwag","6","124","40","50","40","40","40","90","{water}",26,"Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand."
61,"poliwhirl","10","200","65","65","65","50","50","90","{water}",26,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
62,"poliwrath","13","540","90","95","95","70","90","70","{water,fighting}",26,"An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers."
63,"abra","9","195","25","20","15","105","55","90","{psychic}",27,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
64,"kadabra","13","565","40","35","30","120","70","105","{psychic}",27,"It emits special alpha waves from its body that induce headaches just by being close by."
65,"alakazam","15","480","55","50","45","135","95","120","{psychic}",27,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000."
66,"machop","8","195","70","80","50","35","35","35","{fighting}",28,"Loves to build its muscles. It trains in all styles of martial arts to become even stronger."
67,"machoke","15","705","80","100","70","50","60","45","{fighting}",28,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
68,"machamp","16","1300","90","130","80","65","85","55","{fighting}",28,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
69,"bellsprout","7","40","50","75","35","70","30","40","{grass,poison}",29,"A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture."
70,"weepinbell","10","64","65","90","50","85","45","55","{grass,poison}",29,"It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID."
71,"victreebel","17","155","80","105","65","100","70","70","{grass,poison}",29,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
72,"tentacool","9","455","40","40","35","50","100","70","{water,poison}",30,"Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid."
73,"tentacruel","16","550","80","70","65","80","120","100","{water,poison}",30,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
74,"geodude","4","200","40","80","100","30","30","20","{rock,ground}",31,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
75,"graveler","10","1050","55","95","115","45","45","35","{rock,ground}",31,"Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction."
76,"golem","14","3000","80","120","130","55","65","45","{rock,ground}",31,"Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage."
77,"ponyta","10","300","50","85","55","65","65","90","{fire}",32,"Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time."
78,"rapidash","17","950","65","100","70","80","80","105","{fire}",32,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it."
79,"slowpoke","12","360","90","65","65","40","40","15","{water,psychic}",33,"Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack."
80,"slowbro","16","785","95","75","110","100","80","30","{water,psychic}",33,"The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps."
81,"magnemite","3","60","25","35","70","95","55","45","{electric,steel}",34,"Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves."
82,"magneton","10","600","50","60","95","120","70","70","{electric,steel}",34,"Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up."
83,"farfetchd","8","150","52","90","55","58","62","60","{normal,flying}",35,"The sprig of green onions it holds is its weapon. It is used much like a metal sword."
84,"doduo","14","392","35","85","45","35","35","75","{normal,flying}",36,"A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints."
85,"dodrio","18","852","60","110","70","60","60","110","{normal,flying}",36,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
86,"seel","11","900","65","45","55","45","70","45","{water}",37,"The protruding horn on its head is very hard. It is used for bashing through thick ice."
87,"dewgong","17","1200","90","70","80","70","95","70","{water,ice}",37,"Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters."
88,"grimer","9","300","80","80","50","40","50","25","{poison}",38,"Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories."
89,"muk","12","300","105","105","75","65","100","50","{poison}",38,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison."
90,"shellder","3","40","30","65","100","45","25","40","{water}",39,"Its hard shell repels any kind of attack. It is vulnerable only when its shell is open."
91,"cloyster","15","1325","50","95","180","85","45","70","{water,ice}",39,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
92,"gastly","13","1","30","35","30","100","35","80","{ghost,poison}",40,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice."
93,"haunter","16","1","45","50","45","115","55","95","{ghost,poison}",40,"Because of its ability to slip through block walls, it is said to be from an­ other dimension."
94,"gengar","15","405","60","65","60","130","75","110","{ghost,poison}",40,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright."
95,"onix","88","2100","35","45","160","30","45","70","{rock,ground}",41,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
96,"drowzee","10","324","60","48","45","43","90","42","{psychic}",42,"Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams."
97,"hypno","16","756","85","73","70","73","115","67","{psychic}",42,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION."
98,"krabby","4","65","30","105","90","25","25","50","{water}",43,"Its pincers are not only powerful weapons, they are used for balance when walking sideways."
99,"kingler","13","600","55","130","115","50","50","75","{water}",43,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
100,"voltorb","5","104","40","30","50","55","55","100","{electric}",44,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people."
101,"electrode","12","666","60","50","70","80","80","150","{electric}",44,"It stores electric energy under very high pressure. It often explodes with little or no provocation."
102,"exeggcute","4","25","60","40","80","60","45","40","{grass,psychic}",45,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
103,"exeggutor","20","1200","95","95","85","125","75","55","{grass,psychic}",45,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE."
104,"cubone","4","65","50","50","95","40","50","35","{ground}",46,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face."
105,"marowak","10","450","60","80","110","50","80","45","{ground}",46,"The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets."
106,"hitmonlee","15","498","50","120","53","35","110","87","{fighting}",47,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
107,"hitmonchan","14","502","50","105","79","35","110","76","{fighting}",47,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
108,"lickitung","12","655","90","55","75","60","75","30","{normal}",48,"Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies."
109,"koffing","6","10","40","65","95","60","45","35","{poison}",49,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
110,"weezing","12","95","65","90","120","85","70","60","{poison}",49,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years."
111,"rhyhorn","10","1150","80","85","95","30","30","25","{ground,rock}",50,"A POKéMON with a one-track mind. Once it charges,  it won't stop running until it falls asleep."
112,"rhydon","19","1200","105","130","120","45","45","40","{ground,rock}",50,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees."
113,"chansey","11","346","250","5","5","35","105","50","{normal}",51,"A rare and elusive POKéMON that is said to bring happiness to those who manage to get it."
114,"tangela","10","350","65","55","115","100","40","60","{grass}",52,"The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks."
115,"kangaskhan","22","800","105","95","80","40","80","90","{normal}",53,"The infant rarely ventures out of its mother's protective pouch until it is 3 years old."
116,"horsea","4","80","30","40","70","70","25","60","{water}",54,"Known to shoot down flying bugs with precision blasts of ink from the surface of the water."
117,"seadra","12","250","55","65","95","95","45","85","{water}",54,"Capable of swim­ ming backwards by rapidly flapping its wing-like pectoral fins and stout tail."
118,"goldeen","6","150","45","67","60","35","50","63","{water}",55,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen."
119,"seaking","13","390","80","92","65","65","80","68","{water}",55,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks."
120,"staryu","8","345","30","45","55","70","55","85","{water}",56,"If its body is torn, it can grow back if the red core remains. The core flashes at midnight."
121,"starmie","11","800","60","75","85","100","85","115","{water,psychic}",56,"Its central core glows with the seven colors of the rainbow. Some people value the core as a gem."
122,"mr-mime","13","545","40","45","65","100","120","90","{psychic,fairy}",57,"If interrupted while it is miming, it will slap around the offender with its broad hands."
123,"scyther","15","560","70","110","80","55","80","105","{bug,flying}",58,"With ninja-like agility and speed, it can create the illusion that there is more than one."
124,"jynx","14","406","65","50","35","115","95","95","{ice,psychic}",59,"It seductively wiggles its hips as it walks. It can cause people to dance in unison with it."
125,"electabuzz","11","300","65","83","57","95","85","105","{electric}",60,"Normally found near power plants, they can wander away and cause major blackouts in cities."
126,"magmar","13","445","65","95","57","100","85","93","{fire}",61,"Its body always burns with an orange glow that enables it to hide perfectly among flames."
127,"pinsir","15","550","65","125","100","55","70","85","{bug}",62,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
128,"tauros","14","884","75","100","95","40","70","110","{normal}",63,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
129,"magikarp","9","100","20","10","55","15","20","80","{water}",64,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
130,"gyarados","65","2350","95","125","79","60","100","81","{water,flying}",64,"Once it begins to rampage, a GYARADOS will burn everything down, even in a harsh storm."
131,"lapras","25","2200","130","85","80","85","95","60","{water,ice}",65,"A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water."
132,"ditto","3","40","48","48","48","48","48","48","{normal}",66,"Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy."
133,"eevee","3","65","55","55","50","45","65","55","{normal}",67,"Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs."
134,"vaporeon","10","290","130","65","60","110","95","65","{water}",67,"Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's."
135,"jolteon","8","245","65","65","60","110","95","130","{electric}",67,"It accumulates negative ions in the atmosphere to blast out 10000- volt lightning bolts."
136,"flareon","9","250","65","130","60","95","110","65","{fire}",67,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
137,"porygon","8","365","65","60","70","85","75","40","{normal}",68,"A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace."
138,"omanyte","4","75","35","40","100","90","55","35","{rock,water}",69,"Although long extinct, in rare cases, it can be genetically resurrected from fossils."
139,"omastar","10","350","70","60","125","115","70","55","{rock,water}",69,"A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey."
140,"kabuto","5","115","30","80","90","55","45","55","{rock,water}",70,"A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago."
141,"kabutops","13","405","60","115","105","65","70","80","{rock,water}",70,"Its sleek shape is perfect for swim­ ming. It slashes prey with its claws and drains the body fluids."
142,"aerodactyl","18","590","80","105","65","60","75","130","{rock,flying}",71,"A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades."
143,"snorlax","21","4600","160","110","65","65","110","30","{normal}",72,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
144,"articuno","17","554","90","85","100","95","125","85","{ice,flying}",73,"A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains."
145,"zapdos","16","526","90","90","85","125","90","100","{electric,flying}",74,"A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts."
146,"moltres","20","600","90","100","90","125","85","90","{fire,flying}",75,"Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames."
147,"dratini","18","33","41","64","45","50","50","50","{dragon}",76,"Long considered a mythical POKéMON until recently when a small colony was found living underwater."
148,"dragonair","40","165","61","84","65","70","70","70","{dragon}",76,"A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions."
149,"dragonite","22","2100","91","134","95","100","100","80","{dragon,flying}",76,"An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans."
150,"mewtwo","20","1220","106","110","90","154","90","130","{psychic}",77,"It was created by a scientist after years of horrific gene splicing and DNA engineering experiments."
151,"mew","4","40","100","100","100","100","100","100","{psychic}",78,"So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide."
152,"chikorita","9","64","45","49","65","49","65","45","{grass}",79,"A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun's rays."
153,"bayleef","12","158","60","62","80","63","80","60","{grass}",79,"The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight."
154,"meganium","18","1005","80","82","100","83","100","80","{grass}",79,"The aroma that rises from its petals contains a substance that calms aggressive feelings."
155,"cyndaquil","5","79","39","52","43","60","50","65","{fire}",80,"It has a timid nature. If it is startled, the flames on its back burn more vigorously."
156,"quilava","9","190","58","64","58","80","65","80","{fire}",80,"Be careful if it turns its back during battle. It means that it will attack with the fire on its back."
157,"typhlosion","17","795","78","84","78","109","85","100","{fire}",80,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames."
158,"totodile","6","95","50","65","64","44","48","43","{water}",81,"Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful."
159,"croconaw","11","250","65","80","80","59","63","58","{water}",81,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth."
160,"feraligatr","23","888","85","105","100","79","83","78","{water}",81,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up."
161,"sentret","8","60","35","46","34","35","45","20","{normal}",82,"A very cautious POKéMON, it raises itself up using its tail to get a better view of its surroundings."
162,"furret","18","325","85","76","64","45","55","90","{normal}",82,"It makes a nest to suit its long and skinny body. The nest is impossible for other POKéMON to enter."
163,"hoothoot","7","212","60","30","30","36","56","50","{normal,flying}",83,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
164,"noctowl","16","408","100","50","50","86","96","70","{normal,flying}",83,"Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark."
165,"ledyba","10","108","40","20","30","40","80","55","{bug,flying}",84,"It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group."
166,"ledian","14","356","55","35","50","55","110","85","{bug,flying}",84,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder."
167,"spinarak","5","85","40","60","40","40","40","30","{bug,poison}",85,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close."
168,"ariados","11","335","70","90","70","60","70","40","{bug,poison}",85,"It spins string not only from its rear but also from its mouth. It is hard to tell which end is which."
169,"crobat","18","750","85","90","80","70","80","130","{poison,flying}",17,"It flies so si­ lently through the dark on its four wings that it may not be noticed even when nearby."
170,"chinchou","5","120","75","38","38","56","56","67","{water,electric}",86,"Chinchou blink their shining antennae at one another to claim their respective turf."
171,"lanturn","12","225","125","58","58","76","76","67","{water,electric}",86,"The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles."
172,"pichu","3","20","20","40","15","35","35","60","{electric}",10,"It is not yet skilled at storing electricity. It may send out a jolt if amused or startled."
173,"cleffa","3","30","50","25","28","45","55","15","{fairy}",14,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor."
174,"igglybuff","3","10","90","30","15","40","20","15","{normal,fairy}",16,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop."
175,"togepi","3","15","35","20","65","40","65","20","{fairy}",87,"The shell seems to be filled with joy. It is said that it will share good luck when treated kindly."
176,"togetic","6","32","55","40","85","80","105","40","{fairy,flying}",87,"They say that it will appear before kindhearted, car­ ing people and shower them with happiness."
177,"natu","2","20","40","50","45","70","45","70","{psychic,flying}",88,"Because its wings aren't yet fully grown, it has to hop to get around. It is always star­ ing at something."
178,"xatu","15","150","65","75","70","95","70","95","{psychic,flying}",88,"They say that it stays still and quiet because it is seeing both the past and future at the same time."
179,"mareep","6","78","55","40","40","65","45","35","{electric}",89,"If static elec­ tricity builds in its body, its fleece doubles in volume. Touching it will shock you."
180,"flaaffy","8","133","70","55","55","80","60","45","{electric}",89,"As a result of storing too much electricity, it developed patches where even downy wool won't grow."
181,"ampharos","14","615","90","75","85","115","90","55","{electric}",89,"The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people."
182,"bellossom","4","58","75","80","95","90","100","50","{grass}",18,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound."
183,"marill","4","85","70","20","50","20","50","40","{water,fairy}",90,"The tip of its tail, which con­ tains oil that is lighter than wa­ ter, lets it swim without drowning."
184,"azumarill","8","285","100","50","80","60","80","50","{water,fairy}",90,"It lives in water virtually all day long. Its body color and pattern act as camouflage that makes it tough for enemies to spot in water."
185,"sudowoodo","12","380","70","100","115","30","65","30","{rock}",91,"Although it always pretends to be a tree, its composi­ tion appears to be closer to a rock than a plant."
186,"politoed","11","339","90","75","75","90","100","70","{water}",26,"If POLIWAG and POLIWHIRL hear its echoing cry, they respond by gather­ ing from far and wide."
187,"hoppip","4","5","35","35","40","35","55","50","{grass,flying}",92,"To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though."
188,"skiploom","6","10","55","45","50","45","65","80","{grass,flying}",92,"The bloom on top of its head opens and closes as the temperature fluc­ tuates up and down."
189,"jumpluff","8","30","75","55","70","55","95","110","{grass,flying}",92,"Once it catches the wind, it deft­ ly controls its cotton-puff spores to float, even around the world."
190,"aipom","8","115","55","70","55","40","55","85","{normal}",93,"Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air."
191,"sunkern","3","18","30","30","30","30","30","30","{grass}",94,"It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves."
192,"sunflora","8","85","75","75","55","105","85","30","{grass}",94,"It converts sun­ light into energy. In the darkness after sunset, it closes its petals and becomes still."
193,"yanma","12","380","65","65","45","75","45","95","{bug,flying}",95,"If it flaps its wings really fast, it can generate shock waves that will shatter win­ dows in the area."
194,"wooper","4","85","55","45","45","25","25","15","{water,ground}",96,"This POKéMON lives in cold water. It will leave the water to search for food when it gets cold outside."
195,"quagsire","14","750","95","85","85","65","65","35","{water,ground}",96,"This carefree POKéMON has an easy-going nature. While swimming, it always bumps into boat hulls."
196,"espeon","9","265","65","65","60","130","95","110","{psychic}",67,"It uses the fine hair that covers its body to sense air currents and predict its ene­ my's actions."
197,"umbreon","10","270","95","65","110","60","130","65","{dark}",67,"When agitated, this POKéMON pro­ tects itself by spraying poisonous sweat from its pores."
198,"murkrow","5","21","60","85","42","85","42","91","{dark,flying}",97,"Feared and loathed by many, it is believed to bring misfortune to all those who see it at night."
199,"slowking","20","795","95","75","80","100","110","30","{water,psychic}",33,"It has incredible intellect and in­ tuition. Whatever the situation, it remains calm and collected."
200,"misdreavus","7","10","60","60","60","85","85","85","{ghost}",98,"It likes playing mischievous tricks such as screaming and wailing to startle people at night."
201,"unown","5","50","48","72","48","72","48","48","{psychic}",99,"Their shapes look like hieroglyphs on ancient tab­ lets. It is said that the two are somehow related."
202,"wobbuffet","13","285","190","33","58","33","58","33","{psychic}",100,"It hates light and shock. If attack­ ed, it inflates its body to pump up its counter­ strike."
203,"girafarig","15","415","70","80","65","90","65","85","{normal,psychic}",101,"Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite."
204,"pineco","6","72","50","65","90","35","35","15","{bug}",102,"It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it."
205,"forretress","12","1258","75","90","140","60","60","40","{bug,steel}",102,"Its entire body is shielded by a steel-hard shell. What lurks inside the armor is a total mystery."
206,"dunsparce","15","140","100","70","70","65","65","45","{normal}",103,"When spotted, this POKéMON escapes backward by furi­ ously boring into the ground with its tail."
207,"gligar","11","648","65","75","105","35","65","85","{ground,flying}",104,"It flies straight at its target's face then clamps down on the star­ tled victim to inject poison."
208,"steelix","92","4000","75","85","200","55","65","30","{steel,ground}",41,"It is thought its body transformed as a result of iron accumulating internally from swallowing soil."
